EmployeeID,FirstName,LastName,Gender,State,City,HireDate,Department,JobTitle,EducationLevel,PerformanceRating,Overtime,Salary,BirthDate,TerminationDate,AdjustedSalary
E00030,Bimala,Lanka,Male,Maharashtra,Mumbai,2021-04-18,Sales,Sales Manager,Bachelor's,Satisfactory,No,853394,1986-04-27,,853394
E00031,Wazir,Majumdar,Male,Delhi,New Delhi,2021-12-02,HR,HR Manager,Master's,Good,No,636705,1980-12-12,,805431
E00032,Irya,Gupta,Female,West Bengal,Kolkata,2023-09-18,IT,IT Manager,Master's,Needs Improvement,Yes,699448,1980-09-28,,902497
E00033,Niharika,Nagarajan,Male,Gujarat,Ahmedabad,2018-12-23,Operations,Operations Manager,Master's,Good,Yes,386756,1979-01-02,,444769
E00034,Ethan,Singh,Male,Gujarat,Vadodara,2019-06-15,Finance,Finance Manager,Master's,Good,No,853359,1981-06-24,,981362
E00035,Priya,Date,Male,Gujarat,Surat,2024-01-26,Finance,Accountant,Bachelor's,Satisfactory,No,1147176,1994-02-02,,1147176
E00036,Dhruv,Memon,Male,Delhi,New Delhi,2022-12-14,Operations,Operations Executive,Bachelor's,Excellent,No,762558,1987-12-23,,762558
E00037,Tarak,Panchal,Female,Karnataka,Mangalore,2023-09-05,Sales,Sales Manager,Bachelor's,Good,No,930145,1992-09-12,,948747
E00038,Omisha,Anand,Male,Tamil Nadu,Coimbatore,2022-08-21,HR,HR Executive,Bachelor's,Good,No,662733,1981-08-31,,729006
E00039,Ati,Thakkar,Female,Tamil Nadu,Chennai,2020-10-28,Operations,Operations Executive,Bachelor's,Satisfactory,Yes,561316,1985-11-06,,572542
E00040,Gayathri,Sethi,Female,Uttar Pradesh,Noida,2023-11-05,HR,HR Manager,Master's,Excellent,Yes,322515,1986-11-14,,378310
E00041,Parth,Seshadri,Female,Uttar Pradesh,Kanpur,2020-01-27,IT,Software Engineer,Bachelor's,Satisfactory,Yes,926556,1996-02-02,,945087
E00042,Vasana,Nadkarni,Male,Uttar Pradesh,Kanpur,2019-07-22,Operations,Operations Manager,Master's,Excellent,No,690064,1974-08-02,,872930
E00043,Udarsh,Biswas,Female,Tamil Nadu,Madurai,2021-10-12,Operations,Operations Manager,Master's,Good,No,587133,1980-10-22,,757577
E00044,Chameli,Jaggi,Male,Karnataka,Mangalore,2017-10-17,Sales,Sales Executive,Bachelor's,Satisfactory,No,692492,1987-10-25,,692492
E00045,Yoshita,Oza,Male,Karnataka,Mysuru,2018-10-19,Finance,Finance Manager,Master's,Satisfactory,Yes,557611,1986-10-27,2022-08-01,641252
E00046,Yauvani,Hora,Male,Maharashtra,Nagpur,2024-05-04,Operations,Operations Executive,Bachelor's,Needs Improvement,No,671257,1992-05-12,,671257
E00047,Bhavna,Acharya,Male,West Bengal,Howrah,2022-11-30,IT,Software Engineer,Bachelor's,Good,Yes,913297,1995-12-07,,913297
E00048,Charita,Natarajan,Female,Delhi,New Delhi,2024-10-09,IT,Software Engineer,Bachelor's,Good,No,635564,1986-10-19,,648275
E00049,Prisha,Keer,Female,West Bengal,Siliguri,2019-02-21,Finance,Finance Manager,Master's,Good,Yes,566324,1981-03-02,,664298
E00050,Gautam,Agrawal,Male,Gujarat,Surat,2018-01-29,Sales,Sales Manager,Bachelor's,Good,No,807270,1963-02-12,,887997
E00051,Yochana,Murthy,Male,Delhi,New Delhi,2023-03-21,IT,Software Engineer,Bachelor's,Good,No,1096400,1988-03-29,,1096400
E00052,Dev,Sawhney,Male,Gujarat,Ahmedabad,2023-02-15,Sales,Sales Manager,Bachelor's,Good,No,632365,1969-02-28,,695601
E00053,Yauvani,Sunder,Female,West Bengal,Kolkata,2024-12-06,IT,Software Engineer,Bachelor's,Good,No,1328170,1983-12-17,,1490206
E00054,Ira,Parikh,Male,Uttar Pradesh,Noida,2022-04-19,IT,Software Engineer,Bachelor's,Needs Improvement,No,794210,1994-04-26,,794210
E00055,Amaira,Sama,Female,Karnataka,Bengaluru,2019-09-25,HR,HR Executive,Bachelor's,Satisfactory,No,417385,1986-10-03,2024-02-19,425732
E00056,Lopa,Luthra,Male,Tamil Nadu,Coimbatore,2017-06-19,Finance,Accountant,Bachelor's,Needs Improvement,Yes,952316,1980-06-28,,952316
E00057,Raghav,Wason,Female,Delhi,New Delhi,2017-01-04,HR,HR Executive,Bachelor's,Excellent,No,684928,1990-01-11,,698626
E00058,Azaan,Sidhu,Female,Gujarat,Vadodara,2023-09-09,Sales,Sales Executive,Bachelor's,Good,No,909765,1982-09-19,,1020756
E00059,Andrew,Madan,Male,Tamil Nadu,Madurai,2023-08-17,Operations,Operations Executive,Bachelor's,Satisfactory,Yes,436807,1987-08-26,,436807
E00060,Anamika,Sandhu,Male,Delhi,New Delhi,2023-06-07,Finance,Finance Manager,Master's,Good,Yes,803168,1987-06-16,,923643
E00061,Faris,Virk,Male,Gujarat,Vadodara,2024-06-21,HR,HR Executive,Bachelor's,Excellent,No,652015,1984-07-01,,652015
E00062,Ojasvi,Bhagat,Male,Uttar Pradesh,Kanpur,2021-05-16,Sales,Sales Executive,Bachelor's,Satisfactory,No,813118,1994-05-23,,813118
E00063,Yashoda,Trivedi,Male,Tamil Nadu,Chennai,2017-08-21,HR,HR Manager,Master's,Satisfactory,No,412040,1985-08-29,,473845
E00064,Bakhshi,Bali,Male,Tamil Nadu,Coimbatore,2019-01-29,HR,HR Manager,Master's,Satisfactory,No,703709,1986-02-06,,809265
E00065,Girindra,Venkatesh,Male,Delhi,New Delhi,2023-01-20,Sales,Sales Executive,Bachelor's,Good,No,888896,1979-01-31,,977785
E00066,Anvi,Banerjee,Female,West Bengal,Kolkata,2022-09-17,HR,HR Manager,Master's,Needs Improvement,Yes,756932,1991-09-25,,887881
E00067,Meghana,Balakrishnan,Female,Karnataka,Mysuru,2024-08-27,Finance,Finance Manager,Master's,Satisfactory,No,738011,1972-09-09,,952255
E00068,Lakshit,Lala,Male,Tamil Nadu,Madurai,2020-05-11,IT,Software Engineer,Bachelor's,Satisfactory,No,1486453,1982-05-21,,1486453
E00069,Januja,Garde,Male,Uttar Pradesh,Lucknow,2020-11-28,Sales,Sales Executive,Bachelor's,Excellent,No,356766,1976-12-09,,392442
E00070,Ansh,Hayre,Male,Maharashtra,Pune,2023-05-17,Sales,Business Development,Master's,Good,No,482536,2000-05-22,,554916
E00071,Yashoda,Raghavan,Female,Tamil Nadu,Coimbatore,2016-07-10,Finance,Financial Analyst,Master's,Good,No,931674,1985-07-18,,1092853
E00072,Guneet,Kurian,Male,Tamil Nadu,Chennai,2018-03-24,Sales,Sales Executive,Bachelor's,Good,No,761752,1977-04-03,,837927
E00073,Owen,Majumdar,Male,Tamil Nadu,Madurai,2023-01-27,Finance,Accountant,Bachelor's,Good,No,801729,1984-02-06,,801729
E00074,Kamya,Pradhan,Male,Karnataka,Mysuru,2022-10-01,Finance,Accountant,Bachelor's,Excellent,No,616610,1986-10-10,,616610
E00075,Atharv,Gade,Male,Tamil Nadu,Chennai,2021-09-19,IT,Software Engineer,Bachelor's,Excellent,Yes,1226787,1994-09-26,,1226787
E00076,Vrinda,Naik,Male,West Bengal,Kolkata,2023-05-03,Finance,Financial Analyst,Master's,Good,No,781872,1985-05-12,,899152
E00077,Tejas,Murty,Female,Uttar Pradesh,Lucknow,2022-10-18,Finance,Finance Manager,Master's,Good,Yes,518129,1976-10-29,,668541
E00078,Aayush,Boase,Female,Karnataka,Bengaluru,2021-01-02,Sales,Sales Manager,Bachelor's,Satisfactory,No,925669,1982-01-12,,944182
E00079,Joshua,Dua,Male,Delhi,New Delhi,2024-10-01,Finance,Accountant,Bachelor's,Needs Improvement,No,1027401,1980-10-12,,1130141
E00080,Ridhi,Dhaliwal,Female,Tamil Nadu,Madurai,2015-06-26,Sales,Sales Manager,Bachelor's,Excellent,No,932952,1975-07-06,2022-12-18,951611
E00081,Vasudha,Date,Male,Tamil Nadu,Coimbatore,2015-10-14,IT,IT Manager,Master's,Good,No,563746,1961-10-27,,713138
E00082,Aadi,Chahal,Male,Karnataka,Bengaluru,2023-03-08,Finance,Financial Analyst,Master's,Excellent,No,1078893,1999-03-14,,1240726
E00083,Ranbir,Pant,Female,Karnataka,Mangalore,2015-05-08,HR,HR Manager,Master's,Satisfactory,No,675050,1978-05-17,,791833
E00084,Qasim,Chana,Female,Gujarat,Vadodara,2024-05-22,Operations,Operations Executive,Bachelor's,Good,No,353711,1992-05-30,,360785
E00085,Damini,Palla,Male,Karnataka,Mangalore,2017-02-08,Finance,Financial Analyst,Master's,Excellent,Yes,1120322,1995-02-14,,1288370
E00086,Vanya,Wali,Female,Uttar Pradesh,Lucknow,2024-09-20,IT,Software Engineer,Bachelor's,Excellent,Yes,503990,1997-09-27,,514069
E00087,Ucchal,Sharma,Male,Delhi,New Delhi,2019-11-21,Operations,Operations Executive,Bachelor's,Good,No,791579,1979-12-01,,791579
E00088,Ekanta,Prakash,Female,West Bengal,Siliguri,2018-09-16,Finance,Financial Analyst,Master's,Good,Yes,445195,1983-09-25,,522213
E00089,Lakshit,Nori,Female,West Bengal,Siliguri,2020-05-03,IT,Software Engineer,Bachelor's,Satisfactory,No,1283235,1988-05-11,,1308899
E00090,Fiyaz,Pandya,Male,Karnataka,Bengaluru,2020-11-09,Operations,Operations Manager,Master's,Satisfactory,Yes,586807,1973-11-21,,742310
E00091,Advik,Ray,Male,Karnataka,Mysuru,2019-07-21,IT,Software Engineer,Bachelor's,Satisfactory,No,633080,1984-07-29,,633080
E00092,Kamya,Sachdeva,Male,Maharashtra,Nagpur,2023-04-06,Finance,Accountant,Bachelor's,Good,No,414768,1986-04-15,,414768
E00093,Shivansh,Ranganathan,Female,Karnataka,Mysuru,2020-01-02,Sales,Sales Executive,Bachelor's,Good,No,805132,1977-01-12,,903358
E00094,Darsh,Mitter,Male,West Bengal,Kolkata,2020-03-21,IT,Software Engineer,Bachelor's,Good,No,1290232,1984-03-30,,1290232
E00095,Kashish,Karan,Male,Delhi,New Delhi,2021-01-18,Finance,Financial Analyst,Master's,Satisfactory,No,546022,1994-01-25,,627925
E00096,Siddharth,Narula,Female,Karnataka,Mangalore,2020-06-15,Finance,Financial Analyst,Master's,Good,No,886215,1985-06-24,,1039530
E00097,Nakul,Anand,Female,Uttar Pradesh,Kanpur,2023-08-25,IT,Software Engineer,Bachelor's,Satisfactory,No,859205,1978-09-05,,964028
E00098,Qadim,Deol,Female,Karnataka,Mangalore,2024-07-10,Finance,Accountant,Bachelor's,Good,Yes,569202,1995-07-18,,580586
E00099,Quincy,Prakash,Male,Delhi,New Delhi,2021-11-20,IT,IT Manager,Master's,Excellent,No,694036,1971-12-03,,877955
E00100,Deepa,Nadig,Male,Delhi,New Delhi,2020-11-28,HR,HR Manager,Master's,Good,No,526366,1984-12-07,,605320
E00101,Andrew,Raman,Male,West Bengal,Howrah,2024-05-28,IT,Software Engineer,Bachelor's,Good,Yes,694715,1987-06-07,,694715
E00102,Faraj,Wason,Female,Uttar Pradesh,Noida,2019-11-26,IT,Data Analyst,Bachelor's,Good,No,897534,1979-12-06,,915484
E00103,Frederick,Jayaraman,Male,Delhi,New Delhi,2023-02-27,Operations,Operations Executive,Bachelor's,Satisfactory,Yes,526867,1989-03-07,,526867
E00104,Irya,Thaker,Male,West Bengal,Siliguri,2018-08-23,Finance,Accountant,Bachelor's,Satisfactory,No,1190629,1979-09-02,,1190629
E00105,Madhavi,Pal,Male,Tamil Nadu,Chennai,2021-12-14,Sales,Sales Manager,Bachelor's,Satisfactory,No,517220,1985-12-23,,517220
E00106,Janya,Kurian,Male,Gujarat,Vadodara,2020-06-15,Operations,Operations Manager,Master's,Excellent,No,535636,1973-06-27,,677579
E00107,Samar,Koshy,Female,Maharashtra,Mumbai,2022-01-09,IT,Software Engineer,Bachelor's,Satisfactory,No,758230,1997-01-15,,773394
E00108,Omaja,Khanna,Male,Uttar Pradesh,Noida,2018-02-09,Finance,Accountant,Bachelor's,Excellent,No,531353,1987-02-17,,531353
E00109,Tanay,Lalla,Male,Maharashtra,Nagpur,2024-01-18,HR,HR Executive,Bachelor's,Good,No,315220,1988-01-27,,315220
E00110,Lohit,Bhasin,Female,Tamil Nadu,Coimbatore,2024-08-29,Finance,Financial Analyst,Master's,Excellent,No,989595,1983-09-09,,1276874
E00111,Ranbir,Nath,Female,Uttar Pradesh,Lucknow,2024-07-09,IT,Data Analyst,Bachelor's,Good,No,1071180,1998-07-16,,1092603
E00112,Anvi,Mall,Female,Tamil Nadu,Chennai,2023-05-07,Finance,Financial Analyst,Master's,Good,No,660330,1999-05-13,,774567
E00113,Chaitaly,Balay,Male,Tamil Nadu,Coimbatore,2024-08-18,Operations,Operations Manager,Master's,Satisfactory,No,393736,1970-09-01,,498076
E00114,Veda,Sarna,Male,Gujarat,Vadodara,2015-08-17,HR,HR Manager,Master's,Satisfactory,No,490644,1972-08-27,,620664
E00115,Dayamai,Dua,Female,Delhi,New Delhi,2015-06-21,Operations,Operations Manager,Master's,Excellent,Yes,398019,1975-07-01,,466876
E00116,Sudiksha,Goswami,Male,Karnataka,Bengaluru,2022-03-21,IT,IT Manager,Master's,Good,No,725578,1985-03-30,,834414
E00117,Hredhaan,Prasad,Male,Uttar Pradesh,Noida,2023-05-26,Finance,Finance Manager,Master's,Excellent,Yes,939058,1972-06-07,,1187908
E00118,Amaira,Gulati,Female,Tamil Nadu,Coimbatore,2020-08-27,Sales,Sales Manager,Bachelor's,Good,Yes,376691,1982-09-06,,384224
E00119,Daksh,Sen,Male,Delhi,New Delhi,2019-09-14,HR,HR Manager,Master's,Excellent,No,484628,1969-09-26,,613054
E00120,Wazir,Shanker,Male,West Bengal,Siliguri,2018-04-02,Sales,Sales Manager,Bachelor's,Good,Yes,609764,1983-04-11,,609764
E00121,Lakshit,Magar,Male,Maharashtra,Nagpur,2021-06-24,Operations,Operations Executive,Bachelor's,Good,No,530146,1992-07-01,,530146
E00122,Omya,Sarna,Female,Delhi,New Delhi,2023-01-18,IT,Software Engineer,Bachelor's,Satisfactory,No,724605,1983-01-28,,739097
E00123,Zayan,Chander,Female,Gujarat,Ahmedabad,2020-05-01,HR,HR Manager,Master's,Good,No,693419,1972-05-13,,894718
E00124,Dayita,Tella,Male,Gujarat,Vadodara,2023-08-18,Operations,Operations Manager,Master's,Good,Yes,585277,1970-08-31,,740375
E00125,Tamanna,Nadkarni,Female,Karnataka,Mangalore,2018-05-07,Operations,Operations Manager,Master's,Good,No,513126,1984-05-15,,601896
E00126,Fitan,Rajan,Female,Gujarat,Surat,2021-08-20,Finance,Financial Analyst,Master's,Satisfactory,No,437118,1980-08-30,,564013
E00127,Pranit,Chand,Female,Maharashtra,Nagpur,2019-12-09,Finance,Financial Analyst,Master's,Good,Yes,1145774,1983-12-18,,1343992
E00128,Mohini,Bakshi,Male,Maharashtra,Mumbai,2023-03-01,HR,HR Manager,Master's,Satisfactory,No,645043,1984-03-10,,741799
E00129,Warjas,Anne,Female,Uttar Pradesh,Noida,2017-08-29,Operations,Operations Manager,Master's,Good,No,847806,1967-09-11,,1093924
E00130,Wridesh,Bhakta,Female,Karnataka,Mangalore,2019-01-03,Operations,Operations Manager,Master's,Excellent,No,743094,1984-01-12,,871649
E00131,Udyati,Sheth,Male,Karnataka,Mysuru,2021-10-19,Finance,Financial Analyst,Master's,Needs Improvement,No,1097687,1976-10-30,2024-02-24,1388574
E00132,Yadavi,Sankaran,Female,Gujarat,Surat,2019-05-27,HR,HR Executive,Bachelor's,Satisfactory,No,661543,1974-06-07,2022-09-14,742251
E00133,Abdul,Sharaf,Male,West Bengal,Kolkata,2021-09-30,IT,Data Analyst,Bachelor's,Satisfactory,No,864592,1984-10-09,,864592
E00134,Aarnav,Nagar,Female,Uttar Pradesh,Lucknow,2020-02-05,Operations,Operations Manager,Master's,Satisfactory,No,515699,1977-02-15,,665406
E00135,Vedant,Vohra,Female,Karnataka,Mysuru,2019-09-11,Finance,Accountant,Bachelor's,Excellent,Yes,787002,1991-09-18,,802742
E00136,Vritti,Dayal,Female,Tamil Nadu,Chennai,2016-02-24,IT,IT Manager,Master's,Needs Improvement,Yes,838724,1986-03-03,,983823
E00137,Yashoda,Narain,Male,Maharashtra,Nagpur,2024-08-06,HR,HR Manager,Master's,Good,Yes,578497,1976-08-18,,731798
E00138,Pahal,Sani,Female,Uttar Pradesh,Noida,2021-08-22,Operations,Operations Executive,Bachelor's,Good,No,829530,1978-09-02,,930732
E00139,Eiravati,Gera,Female,Delhi,New Delhi,2022-10-09,Operations,Operations Manager,Master's,Good,No,353117,1968-10-22,,455626
E00140,Sanaya,Kapur,Male,West Bengal,Kolkata,2020-08-30,Operations,Operations Manager,Master's,Excellent,Yes,435254,1966-09-13,,550596
E00141,Zaid,De,Female,Tamil Nadu,Chennai,2024-05-23,Operations,Operations Executive,Bachelor's,Good,Yes,673320,1980-06-03,,755465
E00142,Maanav,Mani,Male,West Bengal,Kolkata,2018-11-08,Finance,Accountant,Bachelor's,Satisfactory,Yes,568712,1992-11-14,,568712
E00143,Anika,Buch,Female,Uttar Pradesh,Noida,2024-06-30,Sales,Sales Manager,Bachelor's,Satisfactory,Yes,482921,1979-07-12,,541837
E00144,Chaitaly,Lanka,Male,West Bengal,Kolkata,2021-08-09,Operations,Operations Manager,Master's,Good,Yes,408157,1986-08-18,,469380
E00145,Forum,Memon,Male,Karnataka,Mysuru,2016-09-15,IT,Software Engineer,Bachelor's,Excellent,No,1161000,1977-09-25,,1161000
E00146,Geetika,Salvi,Female,Gujarat,Ahmedabad,2021-05-19,Operations,Operations Executive,Bachelor's,Good,Yes,782538,1987-05-28,,798188
E00147,Aachal,Zacharia,Male,Delhi,New Delhi,2024-11-21,Sales,Sales Executive,Bachelor's,Satisfactory,No,716306,1997-11-28,,716306
E00148,Sudiksha,Oommen,Male,Uttar Pradesh,Noida,2024-06-25,Finance,Accountant,Bachelor's,Excellent,No,689435,1991-07-04,,689435
E00149,Jalsa,Bhargava,Female,Karnataka,Mysuru,2024-11-14,IT,Data Analyst,Bachelor's,Good,Yes,946198,1998-11-21,,965121
E00150,Ikbal,Kibe,Male,Uttar Pradesh,Noida,2021-04-02,HR,HR Executive,Bachelor's,Excellent,No,450005,1986-04-11,,450005
E00151,Upkaar,Dubey,Female,Gujarat,Vadodara,2021-08-26,Operations,Operations Executive,Bachelor's,Needs Improvement,No,875917,1986-09-04,,893435
E00152,Kashish,Kulkarni,Male,Karnataka,Bengaluru,2023-02-22,HR,HR Executive,Bachelor's,Good,Yes,591422,1985-03-03,,591422
E00153,Ishwar,Jha,Female,West Bengal,Howrah,2020-04-13,Sales,Sales Manager,Bachelor's,Needs Improvement,No,997337,1967-04-27,,1119012
E00154,Neel,Raman,Female,Karnataka,Mysuru,2023-11-22,Operations,Operations Manager,Master's,Good,No,557621,1973-12-04,,719498
E00155,Anusha,Dugal,Male,Gujarat,Surat,2019-01-15,HR,HR Manager,Master's,Good,No,701525,1965-01-28,,887429
E00156,Viraj,Pant,Female,West Bengal,Siliguri,2023-10-03,HR,HR Executive,Bachelor's,Good,No,583703,2001-10-08,,595377
E00157,Nathan,Zacharia,Female,Karnataka,Bengaluru,2015-08-16,HR,HR Manager,Master's,Good,No,504985,1964-08-28,,651582
E00158,Maanav,Tripathi,Male,Tamil Nadu,Chennai,2019-06-26,Operations,Operations Executive,Bachelor's,Good,No,858756,1979-07-06,,858756
E00159,Fiyaz,Divan,Male,Delhi,New Delhi,2019-12-12,Sales,Sales Manager,Bachelor's,Good,No,974885,1984-12-20,,974885
E00160,Yuvraj,Maharaj,Female,Tamil Nadu,Madurai,2024-03-26,HR,HR Manager,Master's,Good,No,606356,1972-04-08,,782381
E00161,Aadi,Sarma,Male,Maharashtra,Mumbai,2016-05-25,IT,IT Manager,Master's,Satisfactory,No,1459313,1975-06-05,,1846030
E00162,Matthew,Mander,Male,Tamil Nadu,Chennai,2023-03-24,HR,HR Executive,Bachelor's,Satisfactory,No,483594,1980-04-03,,531953
E00163,Isaac,Srinivasan,Male,Karnataka,Mangalore,2020-03-17,IT,Data Analyst,Bachelor's,Satisfactory,No,1499056,1980-03-27,,1499056
E00164,Isaiah,Rama,Male,West Bengal,Howrah,2024-08-20,HR,HR Executive,Bachelor's,Excellent,No,595687,1986-08-30,,595687
E00165,Vinaya,Mandal,Female,Maharashtra,Pune,2020-07-15,Operations,Operations Executive,Bachelor's,Excellent,No,646979,1975-07-27,,725910
E00166,Brijesh,Dash,Female,Tamil Nadu,Coimbatore,2018-06-09,Operations,Operations Executive,Bachelor's,Needs Improvement,No,602559,1974-06-20,2023-07-26,676071
E00167,Noah,Bhakta,Female,Maharashtra,Mumbai,2015-08-04,Finance,Finance Manager,Master's,Excellent,No,1005551,1962-08-17,,1297462
E00168,Jalsa,Raman,Male,Delhi,New Delhi,2015-04-19,HR,HR Executive,Bachelor's,Good,No,501476,1971-04-30,,551623
E00169,Megha,Vala,Male,Gujarat,Surat,2022-02-25,HR,HR Manager,Master's,Excellent,No,464172,1975-03-09,,587177
E00170,Fariq,Kapadia,Male,Tamil Nadu,Coimbatore,2022-08-19,Sales,Sales Executive,Bachelor's,Satisfactory,No,531261,1988-08-27,,531261
E00171,Yatan,Tella,Female,Uttar Pradesh,Kanpur,2023-03-06,IT,Data Analyst,Bachelor's,Good,Yes,682055,1993-03-13,,695696
E00172,Gauri,Rout,Male,Karnataka,Bengaluru,2020-12-21,Operations,Operations Executive,Bachelor's,Satisfactory,No,342314,1987-12-30,,342314
E00173,Vincent,Bhardwaj,Female,Tamil Nadu,Chennai,2021-04-07,Operations,Operations Manager,Master's,Satisfactory,No,436680,1991-04-15,,512225
E00174,Ekani,Kapur,Female,Maharashtra,Nagpur,2015-01-11,Sales,Sales Executive,Bachelor's,Needs Improvement,No,466418,1981-01-19,2019-11-14,475746
E00175,Diya,Khare,Female,Maharashtra,Mumbai,2021-04-12,IT,Software Engineer,Bachelor's,Good,Yes,872405,1978-04-23,,978838
E00176,Nihal,Parekh,Female,Gujarat,Ahmedabad,2021-03-25,HR,HR Executive,Bachelor's,Good,Yes,329328,1995-04-01,2022-08-14,335914
E00177,Avni,Chadha,Male,Karnataka,Bengaluru,2017-09-01,Finance,Finance Manager,Master's,Excellent,No,1019599,1966-09-14,,1289792
E00178,Daniel,Shetty,Male,Delhi,New Delhi,2023-07-03,IT,Data Analyst,Bachelor's,Good,Yes,766608,1986-07-12,,766608
E00179,Daksha,Ganguly,Male,Maharashtra,Mumbai,2024-07-12,HR,HR Executive,Bachelor's,Excellent,No,496844,1998-07-19,,496844
E00180,Rachit,Lall,Female,Gujarat,Vadodara,2021-07-23,HR,HR Executive,Bachelor's,Satisfactory,Yes,583468,1988-07-31,2024-11-26,595137
E00181,Omaja,Venkatesh,Male,Maharashtra,Pune,2023-09-16,Finance,Finance Manager,Master's,Satisfactory,No,1174737,1980-09-26,,1486042
E00182,Ati,Tandon,Male,Tamil Nadu,Madurai,2023-06-07,Sales,Sales Executive,Bachelor's,Good,No,889018,1984-06-16,,889018
E00183,Krishna,Tella,Female,West Bengal,Howrah,2024-05-01,Finance,Financial Analyst,Master's,Satisfactory,No,571770,1994-05-09,,670686
E00184,Kashvi,Madan,Female,Uttar Pradesh,Noida,2024-04-25,Operations,Operations Executive,Bachelor's,Excellent,No,645375,1981-05-06,,724110
